ITEM: TIMESTEP
0
ITEM: NUMBER OF CELLS
400
ITEM: BOX BOUNDS pp pp pp
0 1
0 1
-0.5 0.5
ITEM: CELLS xc yc c_1[1] c_1[2] c_1[3] c_2[1] 
0.925 0.775 5.18688e+20 56.2293 -5.82662 275.536 
0.525 0.825 5.18662e+20 -52.4444 -1.95729 272.749 
0.725 0.825 5.18662e+20 -8.10389 -26.9793 279.934 
0.925 0.825 5.18688e+20 48.9264 -12.3218 272.582 
0.525 0.875 5.18701e+20 -41.0377 -7.54971 268.761 
0.725 0.875 5.18675e+20 -8.53316 -43.1581 277.518 
0.925 0.875 5.18688e+20 38.3787 -19.9623 267.976 
0.525 0.925 5.18675e+20 -26.5473 -6.18229 266.269 
0.725 0.925 5.18714e+20 -5.26445 -52.3089 275.797 
0.925 0.925 5.18701e+20 25.7393 -24.1691 267.235 
0.525 0.975 5.18714e+20 -9.02495 -9.01669 265.935 
0.725 0.975 5.18688e+20 -3.01021 -60.439 274.186 
0.925 0.975 5.18688e+20 9.07093 -29.297 266.811 
