TITLE = "cavity_20000"
VARIABLES = "X", "Y", "nrho", "U", "V","Temperature"
ZONE T="cavity", I=72, J=72, K=1, F=POINT
-1.5052e-05,2.1502e-06,2.6907e+25,-0.21232,3.7601,272.03
-1.5052e-05,2.6281e-06,2.6912e+25,-0.14699,3.8254,271.94
-1.5052e-05,3.1059e-06,2.6901e+25,-0.11507,3.9661,272.05
-1.5052e-05,3.5838e-06,2.6906e+25,-0.18765,4.0811,272.07
-1.5052e-05,4.0616e-06,2.6893e+25,-0.2043,4.2295,272.07
-1.5052e-05,4.5394e-06,2.6875e+25,-0.29556,4.3367,272.18
-1.5052e-05,5.0173e-06,2.6874e+25,-0.34797,4.3744,272.19
-1.5052e-05,5.4951e-06,2.6884e+25,-0.40714,4.4841,272.12
-1.5052e-05,5.9729e-06,2.6876e+25,-0.43751,4.6344,272.18
-1.5052e-05,6.4508e-06,2.6876e+25,-0.39354,4.774,272.18
-1.5052e-05,6.9286e-06,2.6872e+25,-0.404,4.916,272.21
